Називний;Родовий;Знахідний;Давальний;Орудний;Джерело;Примітка
санітарний інструктор-дезінфектор;санітарного інструктора-дезінфектора;санітарного інструктора-дезінфектора;санітарному інструктору-дезінфектору;санітарним інструктором-дезінфектором;довідник, Excel, зведений;
санітарний інструктор-дозиметрист;санітарного інструктора-дозиметриста;санітарного інструктора-дозиметриста;санітарному інструктору-дозиметристу;санітарним інструктором-дозиметристом;довідник, Excel, зведений;
санітарний інструктор-радіотелефоніст;санітарного інструктора-радіотелефоніста;санітарного інструктора-радіотелефоніста;санітарному інструктору-радіотелефоністу;санітарним інструктором-радіотелефоністом;довідник, Excel, зведений;
сапер;сапера;сапера;саперу;сапером;довідник, Excel, зведений;
сапер розмінування;сапера розмінування;сапера розмінування;саперу розмінування;сапером розмінування;довідник, Excel, зведений;
сапер-електрик;сапера-електрика;сапера-електрика;саперу-електрику;сапером-електриком;довідник, Excel, зведений;
сапер-кулеметник;сапера-кулеметника;сапера-кулеметника;саперу-кулеметнику;сапером-кулеметником;довідник, Excel, зведений;
сапер-радіотелефоніст;сапера-радіотелефоніста;сапера-радіотелефоніста;саперу-радіотелефоністу;сапером-радіотелефоністом;довідник, Excel, зведений;
сапер-розвідник;сапера-розвідника;сапера-розвідника;саперу-розвіднику;сапером-розвідником;довідник, Excel, зведений;
сапер-санітар;сапера-санітара;сапера-санітара;саперу-санітару;сапером-санітаром;довідник, Excel, зведений;
свердлувальник;свердлувальника;свердлувальника;свердлувальнику;свердлувальником;довідник, Excel, зведений;
сержант;сержанта;сержанта;сержанту;сержантом;довідник, Excel, зведений;
сержант резерву;сержанта резерву;сержанта резерву;сержанту резерву;сержантом резерву;довідник, Excel, зведений;
сержант із матеріального забезпечення;сержанта із матеріального забезпечення;сержанта із матеріального забезпечення;сержанту із матеріального забезпечення;сержантом із матеріального забезпечення;зведений;
сержант-менеджер;сержанта-менеджера;сержанта-менеджера;сержанту-менеджеру;сержантом-менеджером;довідник, Excel, зведений;
сержант-менеджер 1 категорії;сержанта-менеджера 1 категорії;сержанта-менеджера 1 категорії;сержанту-менеджеру 1 категорії;сержантом-менеджером 1 категорії;зведений;
сержант-менеджер 2 категорії;сержанта-менеджера 2 категорії;сержанта-менеджера 2 категорії;сержанту-менеджеру 2 категорії;сержантом-менеджером 2 категорії;зведений;
сержант-менеджер 3 категорії;сержанта-менеджера 3 категорії;сержанта-менеджера 3 категорії;сержанту-менеджеру 3 категорії;сержантом-менеджером 3 категорії;довідник, Excel, зведений;
сержант-менеджер 3 категорії батальйону та їм рівних;сержанта-менеджера 3 категорії батальйону та їм рівних;сержанта-менеджера 3 категорії батальйону та їм рівних;сержанту-менеджеру 3 категорії батальйону та їм рівних;сержантом-менеджером 3 категорії батальйону та їм рівних;зведений;
сержант-інструктор;сержанта-інструктора;сержанта-інструктора;сержанту-інструктору;сержантом-інструктором;довідник, Excel, зведений;
сержант-інструктор, військового коледжу, військового навчального закладу;сержанта-інструктор, військового коледжу, військового навчального закладу;сержанта-інструктор, військового коледжу, військового навчального закладу;сержанту-інструктор, військового коледжу, військового навчального закладу;сержантом-інструктор, військового коледжу, військового навчального закладу;зведений;
сестра медична-анестезист;сестри медична-анестезист;сестру медична-анестезист;сестрі медична-анестезист;сестрою медична-анестезист;зведений;
сигнальник;сигнальника;сигнальника;сигнальнику;сигнальником;довідник, Excel, зведений;
складальник;складальника;складальника;складальнику;складальником;довідник, Excel, зведений;
складач поїздів;складача поїздів;складача поїздів;складачу поїздів;складачем поїздів;довідник, Excel, зведений;
скляр;скляра;скляра;скляру;скляром;довідник, Excel, зведений;
слухач;слухача;слухача;слухачу;слухачем;зведений;
слухач курсів;слухача курсів;слухача курсів;слухачу курсів;слухачем курсів;довідник, Excel, зведений;
слюсар;слюсаря;слюсаря;слюсарю;слюсарем;довідник, Excel, зведений;
слюсар-водій;слюсаря-водія;слюсаря-водія;слюсарю-водію;слюсарем-водієм;довідник, Excel, зведений;
слюсар-муляр;слюсаря-муляра;слюсаря-муляра;слюсарю-муляру;слюсарем-муляром;довідник, Excel, зведений;
снайпер;снайпера;снайпера;снайперу;снайпером;довідник, Excel, зведений;
солдат;солдата;солдата;солдату;солдатом;довідник, Excel, зведений;
солдат резерву;солдата резерву;солдата резерву;солдату резерву;солдатом резерву;довідник, Excel, зведений;
солдат-фотограф;солдата-фотографа;солдата-фотографа;солдату-фотографу;солдатом-фотографом;довідник, Excel, зведений;
сортувальник;сортувальника;сортувальника;сортувальнику;сортувальником;довідник, Excel, зведений;
спеціаліст;спеціаліста;спеціаліста;спеціалісту;спеціалістом;довідник, Excel, зведений;
спеціаліст-оператор;спеціаліста-оператора;спеціаліста-оператора;спеціалісту-оператору;спеціалістом-оператором;довідник, Excel, зведений;
спортсмен;спортсмена;спортсмена;спортсмену;спортсменом;довідник, Excel, зведений;
спортсмен-стажер;спортсмена-стажера;спортсмена-стажера;спортсмену-стажеру;спортсменом-стажером;довідник, Excel, зведений;
спортсмен-інструктор;спортсмена-інструктора;спортсмена-інструктора;спортсмену-інструктору;спортсменом-інструктором;довідник, Excel, зведений;
спостерігач;спостерігача;спостерігача;спостерігачу;спостерігачем;довідник, Excel, зведений;
співробітник;співробітника;співробітника;співробітнику;співробітником;зведений;
стартер-фінішер;стартера-фінішера;стартера-фінішера;стартеру-фінішеру;стартером-фінішером;довідник, Excel, зведений;
старша сестра медична-анестезист;старшої сестри медична-анестезист;старшу сестру медична-анестезист;старшій сестрі медична-анестезист;старшою сестрою медична-анестезист;зведений;
старший автопілотник;старшого автопілотника;старшого автопілотника;старшому автопілотнику;старшим автопілотником;довідник, Excel, зведений;
старший авіаційний механік;старшого авіаційного механіка;старшого авіаційного механіка;старшому авіаційному механіку;старшим авіаційним механіком;довідник, Excel, зведений;
старший авіаційний технік;старшого авіаційного техніка;старшого авіаційного техніка;старшому авіаційному техніку;старшим авіаційним техніком;зведений;
старший акумуляторник;старшого акумуляторника;старшого акумуляторника;старшому акумуляторнику;старшим акумуляторником;довідник, Excel, зведений;
старший апаратник;старшого апаратника;старшого апаратника;старшому апаратнику;старшим апаратником;довідник, Excel, зведений;
старший арматурник;старшого арматурника;старшого арматурника;старшому арматурнику;старшим арматурником;довідник, Excel, зведений;
старший асфальтобетонник;старшого асфальтобетонника;старшого асфальтобетонника;старшому асфальтобетоннику;старшим асфальтобетонником;довідник, Excel, зведений;
старший баталер;старшого баталера;старшого баталера;старшому баталеру;старшим баталером;довідник, Excel, зведений;
старший бетоняр;старшого бетоняра;старшого бетоняра;старшому бетоняру;старшим бетоняром;довідник, Excel, зведений;
старший бойовий;старшого бойового;старшого бойового;старшому бойовому;старшим бойовим;довідник, Excel, зведений;
старший бойовий медик;старшого бойового медика;старшого бойового медика;старшому бойовому медику;старшим бойовим медиком;довідник, Excel, зведений;
старший бортовий механік;старшого бортового механіка;старшого бортового механіка;старшому бортовому механіку;старшим бортовим механіком;зведений;
старший бортовий механік-випробувач;старшого бортового механіка-випробувача;старшого бортового механіка-випробувача;старшому бортовому механіку-випробувачу;старшим бортовим механіком-випробувачем;довідник, Excel, зведений;
старший бортовий технік;старшого бортового техніка;старшого бортового техніка;старшому бортовому техніку;старшим бортовим техніком;зведений;
старший боцман;старшого боцмана;старшого боцмана;старшому боцману;старшим боцманом;зведений;
старший бібліотекар;старшого бібліотекаря;старшого бібліотекаря;старшому бібліотекарю;старшим бібліотекаром;довідник, Excel, зведений;
старший вагар;старшого вагара;старшого вагара;старшому вагару;старшим вагаром;довідник, Excel, зведений;
старший викладач;старшого викладача;старшого викладача;старшому викладачу;старшим викладачем;зведений;
старший вогнеметник;старшого вогнеметника;старшого вогнеметника;старшому вогнеметнику;старшим вогнеметником;довідник, Excel, зведений;
старший водолаз;старшого водолаза;старшого водолаза;старшому водолазу;старшим водолазом;довідник, Excel, зведений;
старший водій;старшого водія;старшого водія;старшому водію;старшим водієм;довідник, Excel, зведений;
старший водій - сапер розмінування;старшого водія - сапера розмінування;старшого водія - сапера розмінування;старшому водію - саперу розмінування;старшим водієм - сапером розмінування;Excel, зведений;
старший водій електровізка;старшого водія електровізка;старшого водія електровізка;старшому водію електровізка;старшим водієм електровізка;довідник, Excel, зведений;
старший водій, автомобіля командувача оперативного командування, командира корпусу;старшого водій, автомобіля командувача оперативного командування, командира корпусу;старшого водій, автомобіля командувача оперативного командування, командира корпусу;старшому водій, автомобіля командувача оперативного командування, командира корпусу;старшим водій, автомобіля командувача оперативного командування, командира корпусу;зведений;
старший водій-гранатометник;старшого водія-гранатометника;старшого водія-гранатометника;старшому водію-гранатометнику;старшим водієм-гранатометником;довідник, Excel, зведений;
старший водій-електрик;старшого водія-електрика;старшого водія-електрика;старшому водію-електрику;старшим водієм-електриком;довідник, Excel, зведений;
старший водій-машиніст;старшого водія-машиніста;старшого водія-машиніста;старшому водію-машиністу;старшим водієм-машиністом;довідник, Excel, зведений;
старший водій-радіотелефоніст;старшого водія-радіотелефоніста;старшого водія-радіотелефоніста;старшому водію-радіотелефоністу;старшим водієм-радіотелефоністом;довідник, Excel, зведений;
старший вожатий службових собак;старшого вожатого службових собак;старшого вожатого службових собак;старшому вожатому службових собак;старшим вожатим службових собак;довідник, Excel, зведений;
старший вулканізаторник;старшого вулканізаторника;старшого вулканізаторника;старшому вулканізаторнику;старшим вулканізаторником;довідник, Excel, зведений;
старший візирник;старшого візирника;старшого візирника;старшому візирнику;старшим візирником;довідник, Excel, зведений;
старший газівник;старшого газівника;старшого газівника;старшому газівнику;старшим газівником;довідник, Excel, зведений;
старший гальванік;старшого гальваніка;старшого гальваніка;старшому гальваніку;старшим гальваніком;довідник, Excel, зведений;
старший гравер;старшого гравера;старшого гравера;старшому граверу;старшим гравером;довідник, Excel, зведений;
старший гранатометник;старшого гранатометника;старшого гранатометника;старшому гранатометнику;старшим гранатометником;довідник, Excel, зведений;
старший гідроакустик;старшого гідроакустика;старшого гідроакустика;старшому гідроакустику;старшим гідроакустиком;довідник, Excel, зведений;
старший гідрометеоспостерігач;старшого гідрометеоспостерігача;старшого гідрометеоспостерігача;старшому гідрометеоспостерігачу;старшим гідрометеоспостерігачем;довідник, Excel, зведений;
старший гіроскопіст;старшого гіроскопіста;старшого гіроскопіста;старшому гіроскопісту;старшим гіроскопістом;довідник, Excel, зведений;
старший далекомірник;старшого далекомірника;старшого далекомірника;старшому далекомірнику;старшим далекомірником;довідник, Excel, зведений;
старший дегазатор;старшого дегазатора;старшого дегазатора;старшому дегазатору;старшим дегазатором;довідник, Excel, зведений;
старший дезінфектор;старшого дезінфектора;старшого дезінфектора;старшому дезінфектору;старшим дезінфектором;довідник, Excel, зведений;
старший дефектувальник;старшого дефектувальника;старшого дефектувальника;старшому дефектувальнику;старшим дефектувальником;довідник, Excel, зведений;
старший дешифрувальник;старшого дешифрувальника;старшого дешифрувальника;старшому дешифрувальнику;старшим дешифрувальником;довідник, Excel, зведений;
старший дешифрувальник розвідувальних матеріалів з безпілотних літальних апаратів;старшого дешифрувальника розвідувальних матеріалів з безпілотних літальних апаратів;старшого дешифрувальника розвідувальних матеріалів з безпілотних літальних апаратів;старшому дешифрувальнику розвідувальних матеріалів з безпілотних літальних апаратів;старшим дешифрувальником розвідувальних матеріалів з безпілотних літальних апаратів;довідник, Excel, зведений;
старший дизеліст;старшого дизеліста;старшого дизеліста;старшому дизелісту;старшим дизелістом;довідник, Excel, зведений;
старший диспетчер;старшого диспетчера;старшого диспетчера;старшому диспетчеру;старшим диспетчером;довідник, Excel, зведений;
старший диспетчер поїзний;старшого диспетчера поїзного;старшого диспетчера поїзного;старшому диспетчеру поїзному;старшим диспетчером поїзним;довідник, Excel, зведений;
старший днювальний;старшого днювального;старшого днювального;старшому днювальному;старшим днювальним;довідник, Excel, зведений;
старший дозиметрист;старшого дозиметриста;старшого дозиметриста;старшому дозиметристу;старшим дозиметристом;довідник, Excel, зведений;
старший дозувальник;старшого дозувальника;старшого дозувальника;старшому дозувальнику;старшим дозувальником;довідник, Excel, зведений;
старший дресирувальник;старшого дресирувальника;старшого дресирувальника;старшому дресирувальнику;старшим дресирувальником;довідник, Excel, зведений;
старший друкар;старшого друкара;старшого друкара;старшому друкару;старшим друкаром;довідник, Excel, зведений;
старший експедитор;старшого експедитора;старшого експедитора;старшому експедитору;старшим експедитором;довідник, Excel, зведений;
старший електрик;старшого електрика;старшого електрика;старшому електрику;старшим електриком;довідник, Excel, зведений;
старший електрик-дизеліст;старшого електрика-дизеліста;старшого електрика-дизеліста;старшому електрику-дизелісту;старшим електриком-дизелістом;довідник, Excel, зведений;
старший електрозварник;старшого електрозварника;старшого електрозварника;старшому електрозварнику;старшим електрозварником;довідник, Excel, зведений;
старший електромонтер;старшого електромонтера;старшого електромонтера;старшому електромонтеру;старшим електромонтером;довідник, Excel, зведений;
старший звукометрист;старшого звукометриста;старшого звукометриста;старшому звукометристу;старшим звукометристом;довідник, Excel, зведений;
старший кабельник;старшого кабельника;старшого кабельника;старшому кабельнику;старшим кабельником;довідник, Excel, зведений;
старший кабельник-спаювальник;старшого кабельника-спаювальника;старшого кабельника-спаювальника;старшому кабельнику-спаювальнику;старшим кабельником-спаювальником;довідник, Excel, зведений;
старший клепальник;старшого клепальника;старшого клепальника;старшому клепальнику;старшим клепальником;довідник, Excel, зведений;
старший коваль;старшого коваля;старшого коваля;старшому ковалю;старшим ковалем;довідник, Excel, зведений;
старший кок;старшого кока;старшого кока;старшому коку;старшим коком;довідник, Excel, зведений;
старший комендор;старшого комендора;старшого комендора;старшому комендору;старшим комендором;довідник, Excel, зведений;
старший контролер;старшого контролера;старшого контролера;старшому контролеру;старшим контролером;довідник, Excel, зведений;
старший копрівник;старшого копрівника;старшого копрівника;старшому копрівнику;старшим копрівником;довідник, Excel, зведений;
старший коректор;старшого коректора;старшого коректора;старшому коректору;старшим коректором;довідник, Excel, зведений;
старший кочегар;старшого кочегара;старшого кочегара;старшому кочегару;старшим кочегаром;довідник, Excel, зведений;
старший кравець;старшого кравця;старшого кравця;старшому кравцю;старшим кравцем;довідник, Excel, зведений;
старший кранівник;старшого кранівника;старшого кранівника;старшому кранівнику;старшим кранівником;довідник, Excel, зведений;
старший кресляр;старшого кресляра;старшого кресляра;старшому кресляру;старшим кресляром;довідник, Excel, зведений;
старший кулеметник;старшого кулеметника;старшого кулеметника;старшому кулеметнику;старшим кулеметником;довідник, Excel, зведений;
старший кухар;старшого кухаря;старшого кухаря;старшому кухарю;старшим кухарем;довідник, Excel, зведений;
старший лаборант;старшого лаборанта;старшого лаборанта;старшому лаборанту;старшим лаборантом;зведений;
старший ливарник;старшого ливарника;старшого ливарника;старшому ливарнику;старшим ливарником;довідник, Excel, зведений;
старший льотчик;старшого льотчика;старшого льотчика;старшому льотчику;старшим льотчиком;зведений;
старший лікар;старшого лікаря;старшого лікаря;старшому лікарю;старшим лікарем;зведений;
старший лінотипіст;старшого лінотипіста;старшого лінотипіста;старшому лінотипісту;старшим лінотипістом;довідник, Excel, зведений;
старший лінійний;старшого лінійного;старшого лінійного;старшому лінійному;старшим лінійним;довідник, Excel, зведений;
старший лінійний наглядач;старшого лінійного наглядача;старшого лінійного наглядача;старшому лінійному наглядачу;старшим лінійним наглядачем;довідник, Excel, зведений;
старший майстер;старшого майстра;старшого майстра;старшому майстру;старшим майстром;довідник, Excel, зведений;
старший майстер-гранатометник;старшого майстра-гранатометника;старшого майстра-гранатометника;старшому майстру-гранатометнику;старшим майстром-гранатометником;довідник, Excel, зведений;
старший маляр;старшого маляра;старшого маляра;старшому маляру;старшим маляром;довідник, Excel, зведений;
старший марсовий;старшого марсового;старшого марсового;старшому марсовому;старшим марсовим;довідник, Excel, зведений;
старший маскувальник;старшого маскувальника;старшого маскувальника;старшому маскувальнику;старшим маскувальником;довідник, Excel, зведений;
старший машиніст;старшого машиніста;старшого машиніста;старшому машиністу;старшим машиністом;довідник, Excel, зведений;
старший машиніст бульдозера;старшого машиніста бульдозера;старшого машиніста бульдозера;старшому машиністу бульдозера;старшим машиністом бульдозера;довідник, Excel, зведений;
старший машиніст екскаватора;старшого машиніста екскаватора;старшого машиніста екскаватора;старшому машиністу екскаватора;старшим машиністом екскаватора;довідник, Excel, зведений;
старший машиніст заправної машини;старшого машиніста заправної машини;старшого машиніста заправної машини;старшому машиністу заправної машини;старшим машиністом заправної машини;довідник, Excel, зведений;
старший машиніст компресора;старшого машиніста компресора;старшого машиніста компресора;старшому машиністу компресора;старшим машиністом компресора;довідник, Excel, зведений;
старший машиніст скрепера;старшого машиніста скрепера;старшого машиніста скрепера;старшому машиністу скрепера;старшим машиністом скрепера;довідник, Excel, зведений;
старший метеоролог;старшого метеоролога;старшого метеоролога;старшому метеорологу;старшим метеорологом;довідник, Excel, зведений;
старший метеоспостерігач;старшого метеоспостерігача;старшого метеоспостерігача;старшому метеоспостерігачу;старшим метеоспостерігачем;довідник, Excel, зведений;
старший механік;старшого механіка;старшого механіка;старшому механіку;старшим механіком;довідник, Excel, зведений;
старший механік-акумуляторник;старшого механіка-акумуляторника;старшого механіка-акумуляторника;старшому механіку-акумуляторнику;старшим механіком-акумуляторником;довідник, Excel, зведений;
старший механік-водій;старшого механіка-водія;старшого механіка-водія;старшому механіку-водію;старшим механіком-водієм;довідник, Excel, зведений;
старший механік-гранатометник;старшого механіка-гранатометника;старшого механіка-гранатометника;старшому механіку-гранатометнику;старшим механіком-гранатометником;довідник, Excel, зведений;
старший монтажник;старшого монтажника;старшого монтажника;старшому монтажнику;старшим монтажником;довідник, Excel, зведений;
старший монтер колій;старшого монтера колій;старшого монтера колій;старшому монтеру колій;старшим монтером колієм;довідник, Excel, зведений;
старший моторист;старшого моториста;старшого моториста;старшому мотористу;старшим мотористом;довідник, Excel, зведений;
старший муляр;старшого муляра;старшого муляра;старшому муляру;старшим муляром;довідник, Excel, зведений;
старший мінер;старшого мінера;старшого мінера;старшому мінеру;старшим мінером;довідник, Excel, зведений;
старший мірошник;старшого мірошника;старшого мірошника;старшому мірошнику;старшим мірошником;довідник, Excel, зведений;
старший навідник;старшого навідника;старшого навідника;старшому навіднику;старшим навідником;довідник, Excel, зведений;
старший наладчик;старшого наладчика;старшого наладчика;старшому наладчику;старшим наладчиком;довідник, Excel, зведений;
старший нарядник;старшого нарядника;старшого нарядника;старшому наряднику;старшим нарядником;довідник, Excel, зведений;
старший науковий співробітник;старшого наукового співробітника;старшого наукового співробітника;старшому науковому співробітнику;старшим науковим співробітником;зведений;
старший номер обслуги;старшого номера обслуги;старшого номера обслуги;старшому номеру обслуги;старшим номером обслуги;довідник, Excel, зведений;
старший нормувальник;старшого нормувальника;старшого нормувальника;старшому нормувальнику;старшим нормувальником;довідник, Excel, зведений;
старший обчислювач;старшого обчислювача;старшого обчислювача;старшому обчислювачу;старшим обчислювачем;довідник, Excel, зведений;
старший оглядач;старшого оглядача;старшого оглядача;старшому оглядачу;старшим оглядачем;довідник, Excel, зведений;
старший оператор;старшого оператора;старшого оператора;старшому оператору;старшим оператором;довідник, Excel, зведений;
старший оператор безпілотних літальних апаратів;старшого оператора безпілотних літальних апаратів;старшого оператора безпілотних літальних апаратів;старшому оператору безпілотних літальних апаратів;старшим оператором безпілотних літальних апаратів;зведений;
старший оператор-електрик;старшого оператора-електрика;старшого оператора-електрика;старшому оператору-електрику;старшим оператором-електриком;довідник, Excel, зведений;
старший оператор-планшетист;старшого оператора-планшетиста;старшого оператора-планшетиста;старшому оператору-планшетисту;старшим оператором-планшетистом;довідник, Excel, зведений;
старший оператор-радіотелеграфіст;старшого оператора-радіотелеграфіста;старшого оператора-радіотелеграфіста;старшому оператору-радіотелеграфісту;старшим оператором-радіотелеграфістом;довідник, Excel, зведений;
старший оператор-розвідник;старшого оператора-розвідника;старшого оператора-розвідника;старшому оператору-розвіднику;старшим оператором-розвідником;довідник, Excel, зведений;
старший оперуповноважений;старшого оперуповноваженого;старшого оперуповноваженого;старшому оперуповноваженому;старшим оперуповноваженим;зведений;
старший оптик;старшого оптика;старшого оптика;старшому оптику;старшим оптиком;довідник, Excel, зведений;
старший ординатор;старшого ординатора;старшого ординатора;старшому ординатору;старшим ординатором;зведений;
старший офіцер;старшого офіцера;старшого офіцера;старшому офіцеру;старшим офіцером;зведений;
старший офіцер батальйону;старшого офіцера батальйону;старшого офіцера батальйону;старшому офіцеру батальйону;старшим офіцером батальйону;зведений;
старший офіцер батареї;старшого офіцера батареї;старшого офіцера батареї;старшому офіцеру батареї;старшим офіцером батареї;зведений;
старший офіцер бригади;старшого офіцера бригади;старшого офіцера бригади;старшому офіцеру бригади;старшим офіцером бригади;зведений;
старший офіцер взводу;старшого офіцера взводу;старшого офіцера взводу;старшому офіцеру взводу;старшим офіцером взводу;зведений;
старший офіцер відділення;старшого офіцера відділення;старшого офіцера відділення;старшому офіцеру відділення;старшим офіцером відділення;зведений;
старший офіцер відділу;старшого офіцера відділу;старшого офіцера відділу;старшому офіцеру відділу;старшим офіцером відділу;зведений;
старший офіцер військової частини;старшого офіцера військової частини;старшого офіцера військової частини;старшому офіцеру військової частини;старшим офіцером військової частини;зведений;
старший офіцер групи;старшого офіцера групи;старшого офіцера групи;старшому офіцеру групи;старшим офіцером групи;зведений;
старший офіцер дивізіону;старшого офіцера дивізіону;старшого офіцера дивізіону;старшому офіцеру дивізіону;старшим офіцером дивізіону;зведений;
