Група;Назва групи;Код ВОС;Найменування ВОС;Посади, на яких застосовується;Допустимо без додаткової підготовки;Допустимо з додатковою підготовкою;Примітка
47;Корабельна техніка та озброєння;473200;Забезпечення скритності та захисту кораблів і суден по фізичних полях;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;473000;
47;Корабельна техніка та озброєння;473300;Ведення пошукових, аварійно-рятувальних, підйомних і водолазних робіт;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;074000;;
48;Космічні засоби;480100;Організація технічного забезпечення, експлуатації та ремонту космічних засобів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;481400, 481900;
48;Космічні засоби;481400;Експлуатація та ремонт бортових систем управління устаткування перевірки космічних апаратів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;480100;
48;Космічні засоби;481900;Експлуатація та ремонт радіотехнічних та оптико-електронних засобів командно-вимірювальних комплексів космічних систем;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;480100;
48;Космічні засоби;482300;Автоматизована обробка та аналіз інформації космічних засобів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;491800;480100;
49;Засоби військової розвідки;491000;Експлуатація та ремонт засобів радіорозвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;090300, 094400, 094500, 096400, 491100;;
49;Засоби військової розвідки;491100;Експлуатація та ремонт засобів радіотехнічної розвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;090300, 094400, 094500, 096400, 491000;;
49;Засоби військової розвідки;491200;Експлуатація та ремонт бортових та авіаційних засобів розвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
49;Засоби військової розвідки;491300;Експлуатація та ремонт корабельних засобів розвідки;На посадах спеціалістів в органах військового управління, кораблях (суднах), підрозділах, установах, ВВНЗ та ВНП ЗВО;;491100;
49;Засоби військової розвідки;491700;Експлуатація та ремонт засобів спеціального контролю за ядерними вибухами;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
49;Засоби військової розвідки;491800;Обробка даних космічної розвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;482300;;
49;Засоби військової розвідки;495000;Експлуатація та ремонт засобів радіозв’язку спеціальної розвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;093300;491100, 521000;
50;Інженерне озброєння;500100;Організація технічного забезпечення експлуатації та ремонту інженерного озброєння;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;100100;500200, 500201;
50;Інженерне озброєння;500200;Експлуатація та ремонт інженерного озброєння;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;100100;;
50;Інженерне озброєння;500201;Експлуатація та ремонт інженерних машин та засобів водопостачання;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;100100, 101400;;
50;Інженерне озброєння;500300;Експлуатація та ремонт інженерних електротехнічних засобів;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;100100, 101500;;
50;Інженерне озброєння;500500;Будівництво та експлуатація фортифікаційних споруд маскування;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;100100, 101501, 101502;;
50;Інженерне озброєння;500700;Розробка, експлуатація та ремонт робототехніки, систем керованого мінування, боєприпасів, засобів їх пошуку та засобів маскування;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 101000;;
51;Озброєння і засоби радіаційного, хімічного, біологічного захисту;510100;Організація технічного забезпечення, експлуатації та ремонту озброєння радіаційного, хімічного, біологічного захисту;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;110100, 111000, 111100, 510200;510900;
51;Озброєння і засоби радіаційного, хімічного, біологічного захисту;510200;Експлуатація та ремонт озброєння радіаційного, хімічного, біологічного захисту;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;110100, 111000, 111100, 510100;510900;
51;Озброєння і засоби радіаційного, хімічного, біологічного захисту;510900;Організація екологічного забезпечення ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;098000, 110100, 111000, 111100;510100, 510200;
52;Засоби зв’язку;520100;Організація технічного забезпечення, експлуатації та ремонту засобів зв’язку (крім авіації та ВМС ЗС України);На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також заступників командирів військових частин з озброєння (технічної частини);521000, 521305;120100, 120500, 121000, 121100, 121501, 520200, 520300, 521800;
52;Засоби зв’язку;520200;Організація технічного забезпечення, експлуатації та ремонту засобів радіотехнічного забезпечення авіації;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;461700, 520100, 521000;120100, 120500, 121000, 121100, 121501, 521305, 520300, 521800;
52;Засоби зв’язку;520300;Організація технічного забезпечення, експлуатації та ремонту засобів зв’язку у ВМС ЗС України;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;521000, 521800;120100, 121000, 121501, 521305, 520100, 520200;
52;Засоби зв’язку;521000;Експлуатація та ремонт наземної апаратури радіозв’язку різної потужності;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;520100, 521305;120100, 120500, 121000, 121100, 121501, 520300, 521800;
52;Засоби зв’язку;521305;Експлуатація та ремонт комплексів (засобів) захисту інформації та кібернетичної безпеки в інформаційно-телекомунікаційних системах;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;121501, 160000, 160100, 160200, 160300, 530200;530100, 531100;
52;Засоби зв’язку;521800;Експлуатація та ремонт апаратури зв’язку надводних кораблів та підводних човнів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;520300;120100, 121000, 121501, 521305, 520300;
53;Математичне, програмне, інформаційне та технічне забезпечення функціонування автоматизованих систем управління;530100;Системний аналіз функціонування автоматизованих систем управління;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;531100, 531103, 530200;531200;
53;Математичне, програмне, інформаційне та технічне забезпечення функціонування автоматизованих систем управління;530200;Математичне та програмне забезпечення функціонування автоматизованих систем, систем захисту інформації та кібернетичної безпеки;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;121501, 160000, 160100, 160200, 160300, 521305;530100, 531100;
53;Математичне, програмне, інформаційне та технічне забезпечення функціонування автоматизованих систем управління;531100;Технічне забезпечення функціонування стаціонарних засобів автоматизованих систем управління;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;530100, 531103, 530200;531200;
53;Математичне, програмне, інформаційне та технічне забезпечення функціонування автоматизованих систем управління;531103;Експлуатація та ремонт апаратури приладного наведення;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;530100, 531100;531200;
53;Математичне, програмне, інформаційне та технічне забезпечення функціонування автоматизованих систем управління;531200;Технічне забезпечення функціонування корабельних засобів автоматизованих систем управління;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;530100, 531103;;
53;Математичне, програмне, інформаційне та технічне забезпечення функціонування автоматизованих систем управління;530600;Адміністрування інформаційно-телекомунікаційних систем управління авіацією та протиповітряною обороною;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;530100, 530200, 531103;
54;Засоби електромагнітної та кіберборотьби (включаючи радіоелектронної боротьби);540001;Експлуатація засобів електромагнітної та кіберборотьби;На посадах спеціалістів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;540002, 540100, 541000, 708700;150200, 150300, 191100, 482300, 491800, 530100, 530200, 530600;
54;Засоби електромагнітної та кіберборотьби (включаючи радіоелектронної боротьби);540002;Спеціальне програмне забезпечення та апаратно-програмні комплекси електромагнітної та кіберборотьби;На посадах спеціалістів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;540001, 540100, 541000;530100, 530200, 530600;
54;Засоби електромагнітної та кіберборотьби (включаючи радіоелектронної боротьби);540100;Організація технічного забезпечення, експлуатації та ремонту засобів радіоелектронної боротьби ЗС України;На посадах керівного складу в органах військового управління, установах, ВВНЗ та ВНП ЗВО;520100;140300;
54;Засоби електромагнітної та кіберборотьби (включаючи радіоелектронної боротьби);541000;Експлуатація та ремонт засобів радіоелектронної боротьби;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;540100;140300, 141000;
58;Відбудова та будівництво автодоріг і мостів на автомобільних шляхах;580100;Відбудова та будівництво автодоріг і мостів на автомобільних шляхах та об’єктів національної транспортної системи;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;100100, 180200;101501;
58;Відбудова та будівництво автодоріг і мостів на автомобільних шляхах;580200;Експлуатація та ремонт дорожньобудівельних і мостобудівельних машин і механізмів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 180200;101501;
59;Топогеодезичні роботи і техніка;590200;Топографічні роботи;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;590300, 591000;
59;Топогеодезичні роботи і техніка;590300;Картографічні роботи (крім ВМС ЗС України);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;191400;;
59;Топогеодезичні роботи і техніка;591000;Експлуатація та ремонт топогеодезичної техніки і приладів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;590200;
60;Гідрометеорологічні (метеорологічні) та геофізичні роботи і техніка;600100;Обробка гідрометеорологічної (метеорологічної) та геофізичної інформації;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;200200, 211000;210100, 601000;
60;Гідрометеорологічні (метеорологічні) та геофізичні роботи і техніка;601000;Експлуатація та ремонт гідрометеорологічних (метеорологічних), геофізичних та геологічних засобів і приладів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;200200, 600100;210100, 211000;
61;Навігаційно-гідрографічні, геофізичні та гідрометеорологічні роботи. Навігаційно-гідрографічна техніка;610200;Картографічні роботи та обробка гідрометеорологічної і геофізичної інформації для ВМС ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;470600;072300;
62;Проведення та забезпечення будівельних робіт. Технічна експлуатація будівель і споруд;620100;Будівництво та експлуатація будівель і споруд спеціального та загальновійськового призначення;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;220100;620200;
62;Проведення та забезпечення будівельних робіт. Технічна експлуатація будівель і споруд;620200;Будівництво та експлуатація аеродромів і захисних споруд;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;620100;
62;Проведення та забезпечення будівельних робіт. Технічна експлуатація будівель і споруд;620300;Монтаж, експлуатація та ремонт систем електропостачання і електрообладнання будівель та споруд спеціального та загальновійськового призначення;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також спеціалістів з охорони праці та інспекторського складу;221000, 390900, 620100;Офіцери інших ВОС, які мають споріднену цивільну освіту;
62;Проведення та забезпечення будівельних робіт. Технічна експлуатація будівель і споруд;620400;Монтаж, експлуатація та ремонт санітарно-технічного устаткування будівель і споруд спеціального та загальновійськового призначення;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;620100;221000;
70;Логістичне забезпечення;700100;Організація тилового забезпечення;На посадах керівного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;700110;220100, 620100, 701000, 702100, 702200, 702300, 703100, 703500, 703600;
70;Логістичне забезпечення;700110;Організація логістичного забезпечення;На посадах керівного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;700100, 705000;220100, 221000, 620100, 701000, 702100, 702200, 702300, 703100, 703500, 703600, 706100, 706200, 707100, 707200, 707300, 707400, 709700;
70;Логістичне забезпечення;701000;Організація забезпечення військ (сил) пальним та мастильними матеріалами;На командних і штабних посадах в органах військового управління, авіаційних військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;703600;;
70;Логістичне забезпечення;701100;Організація забезпечення матеріально-технічними засобами служби пального авіаційних військових частин;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;701000;
70;Логістичне забезпечення;702100;Організація продовольчого, речового, шкіперського і торговельно-побутового забезпечення;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також начальників продовольчої та речової служби;700100;702200, 702300;
70;Логістичне забезпечення;702200;Організація продовольчого забезпечення військ (сил), експлуатація та ремонт технічних засобів продовольчої служби;На командних і штабних посадах в органах військового управління, установах, військових частинах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;700100, 702100;;
70;Логістичне забезпечення;702300;Організація речового забезпечення військ (сил), експлуатація та ремонт технічних засобів речової служби;На командних і штабних посадах в органах військового управління, установах, військових частинах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;700100, 702100;702200;
70;Логістичне забезпечення;703100;Організація військових сполучень і військових перевезень;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;703200;;
70;Логістичне забезпечення;703200;Організація військових сполучень і військових перевезень залізничним транспортом;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;703100;703300, 703400;
70;Логістичне забезпечення;703300;Організація військових сполучень і військових перевезень водним транспортом;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;703100, 703200;703400;
70;Логістичне забезпечення;703400;Організація військових сполучень і військових перевезень повітряним транспортом;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;703100, 703200;703300;
70;Логістичне забезпечення;703500;Організація перевезень і управління на автомобільному транспорті;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;706200;
70;Логістичне забезпечення;703600;Організація транспортування, зберігання, розподілу пального, мастильних матеріалів та матеріально-технічних засобів служби пального, їх експлуатація і ремонт;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;701000;;
70;Логістичне забезпечення;704000;Організація логістичного забезпечення авіації;На командних і штабних посадах в органах військового управління, авіаційних військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;620200, 700100, 700110, 701000, 702100, 702200, 702300, 705000, 709506;
70;Логістичне забезпечення;705000;Організація технічного забезпечення;На посадах керівного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;700110;706100, 706200, 707200, 708100, 709100, 709700;
70;Логістичне забезпечення;706100;Організація експлуатації та ремонту бронетанкової техніки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;021000, 021100;
70;Логістичне забезпечення;706200;Експлуатація та ремонт автомобільної техніки та її аналогів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;703500;
70;Логістичне забезпечення;706300;Експлуатація та ремонт безпілотних систем;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;063400, 063401, 063402, 096300, офіцери 46 групи ВОС, які не використовуються за спеціальністю;
70;Логістичне забезпечення;706305;Експлуатація та ремонт морських безекіпажних систем (комплексів);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;470100, 471400, 472400;
70;Логістичне забезпечення;707100;Організація експлуатації та ремонту ракетного озброєння;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;707200;
70;Логістичне забезпечення;707200;Організація експлуатації та ремонту артилерійського озброєння;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;707100;
70;Логістичне забезпечення;707300;Експлуатація та ремонт стрілецького озброєння і засобів ближнього бою;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;707200;707400;
70;Логістичне забезпечення;707400;Зберігання та ремонт боєприпасів, детонаторів, освітлювальних і сигнальних засобів, вибухових речовин;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;707200;707300;
70;Логістичне забезпечення;708100;Організація технічного забезпечення, експлуатації та ремонту зенітного ракетного озброєння;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;705000;041100, 041300, 041305, 041505;
70;Логістичне забезпечення;708200;Організація технічного забезпечення, експлуатації та ремонту радіолокаційного озброєння;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;044000, 044001, 044002, 044003, 705000;708300;
70;Логістичне забезпечення;708300;Експлуатація та ремонт радіотехнічних засобів наведення зенітних ракетних комплексів (систем);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041100;708100;
70;Логістичне забезпечення;708400;Експлуатація та ремонт бортових приладів управління, контрольно-випробувального та технологічного устаткування зенітних ракетних комплексів (систем);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041103, 041307, 041507;041303;
70;Логістичне забезпечення;708500;Експлуатація та ремонт стартового устаткування зенітних ракетних комплексів (систем);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;041100, 041300, 041305, 041505, 708300;041103, 041303, 041307;
70;Логістичне забезпечення;708600;Технічне забезпечення, експлуатація та ремонт засобів автоматизованого управління зенітних ракетних комплексів та систем;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;043000;;
70;Логістичне забезпечення;708700;Експлуатація та ремонт квантово-електронних засобів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
70;Логістичне забезпечення;708800;Експлуатація та ремонт наземних засобів телеметрії та траєкторних вимірювань;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
70;Логістичне забезпечення;709100;Організація забезпечення авіаційно-технічним майном;На посадах керівного складу в органах військового управління, установах, ВВНЗ та ВНП ЗВО;;;
70;Логістичне забезпечення;709506;Експлуатація та ремонт киснево-газових та інших засобів аеродромно-технічного обслуговування літаків і вертольотів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
70;Логістичне забезпечення;709700;Метрологічне забезпечення військ (сил);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;521000, 705000;
85;Спеціальності юридичного профілю;850200;Прокурорсько-слідча робота;На прокурорсько-слідчих посадах в органах військової прокуратури, спеціалістів в органах військового управління, військових частинах (підрозділах);850300;850500;
85;Спеціальності юридичного профілю;850300;Юрисконсультська робота;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;850200;850500;
85;Спеціальності юридичного профілю;850400;Цивільно-військове співробітництво;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;850200, 850300;Офіцери інших ВОС;
85;Спеціальності юридичного профілю;850500;Правовиховна робота;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також викладачі;850200, 850300;;
85;Спеціальності юридичного профілю;850600;Правоохоронна діяльність у ЗС України;На посадах спеціалістів Військової служби правопорядку у ЗС України;850200, 850300;Офіцери інших ВОС, які мають ступінь вищої юридичної освіти не нижче бакалавра;
90;Охорона здоров’я;900100;Організація медичного забезпечення у ЗС України;На посадах керівного складу в органах військового управління, закладах охорони здоров’я, ВВНЗ та ВНП ЗВО;;900101, 900200, 901300, 902000, 902900, 903400, 905000;
90;Охорона здоров’я;900101;Організація медичного забезпечення в наземних, десантно-штурмових військах, авіації та ВМС ЗС України;На посадах начальників медичної служби військових частин, командирів медичної роти військових частин, ВВНЗ та ВНП ЗВО;;901000, 901100, 901101, 901200;
