Називний;Родовий;Давальний;Орудний;Інші форми;Склад;Код посади (МО 317);Номери ВОС (МО 317);Усі ВОС;Назва в переліку МО 317;Джерело
старший вожатий службових собак;старшого вожатого службових собак;старшому вожатому службових собак;старшим вожатим службових собак;;рядовий, сержантський, старшинський;706;200, 886;;Старший вожатий службових собак;Excel, МО 317
старший вулканізаторник;старшого вулканізаторника;старшому вулканізаторнику;старшим вулканізаторником;;рядовий, сержантський, старшинський;713;796;;Старший вулканізаторник;Excel, МО 317
старший візирник;старшого візирника;старшому візирнику;старшим візирником;;рядовий, сержантський, старшинський;701;;так;Старший візирник;Excel, МО 317
старший газівник;старшого газівника;старшому газівнику;старшим газівником;;рядовий, сержантський, старшинський;716;799;;Старший газівник;Excel, МО 317
старший гальванік;старшого гальваніка;старшому гальваніку;старшим гальваніком;;рядовий, сержантський, старшинський;717;972;;Старший гальванік;Excel, МО 317
старший гравер;старшого гравера;старшому граверу;старшим гравером;;рядовий, сержантський, старшинський;725;972;;Старший гравер;Excel, МО 317
старший гранатометник;старшого гранатометника;старшому гранатометнику;старшим гранатометником;;рядовий, сержантський, старшинський;724;102, 103;;Старший гранатометник;Excel, МО 317
старший гідроакустик;старшого гідроакустика;старшому гідроакустику;старшим гідроакустиком;;рядовий, сержантський, старшинський;718;340, 341, 342, 343, 344, 345, 346;;Старший гідроакустик;Excel, МО 317
старший гідрометеоспостерігач;старшого гідрометеоспостерігача;старшому гідрометеоспостерігачу;старшим гідрометеоспостерігачем;;рядовий, сержантський, старшинський;720;631, 632;;Старший гідрометеоспостерігач;Excel, МО 317
старший гіроскопіст;старшого гіроскопіста;старшому гіроскопісту;старшим гіроскопістом;;рядовий, сержантський, старшинський;721;;так;Старший гіроскопіст;Excel, МО 317
старший далекомірник;старшого далекомірника;старшому далекомірнику;старшим далекомірником;;рядовий, сержантський, старшинський;727;626;;Старший далекомірник;Excel, МО 317
старший дегазатор;старшого дегазатора;старшому дегазатору;старшим дегазатором;;рядовий, сержантський, старшинський;729;189;;Старший дегазатор;Excel, МО 317
старший дезінфектор;старшого дезінфектора;старшому дезінфектору;старшим дезінфектором;;рядовий, сержантський, старшинський;730;878;;Старший дезінфектор;Excel, МО 317
старший дефектувальник;старшого дефектувальника;старшому дефектувальнику;старшим дефектувальником;;рядовий, сержантський, старшинський;731;;так;Старший дефектувальник;Excel, МО 317
старший дешифрувальник;старшого дешифрувальника;старшому дешифрувальнику;старшим дешифрувальником;;рядовий, сержантський, старшинський;732;;так;Старший дешифрувальник;Excel, МО 317
старший дешифрувальник розвідувальних матеріалів з безпілотних літальних апаратів;старшого дешифрувальника розвідувальних матеріалів з безпілотних літальних апаратів;старшому дешифрувальнику розвідувальних матеріалів з безпілотних літальних апаратів;старшим дешифрувальником розвідувальних матеріалів з безпілотних літальних апаратів;;рядовий, сержантський, старшинський;735;276;;Старший дешифрувальник розвідувальних матеріалів з безпілотних літальних апаратів;Excel, МО 317
старший дизеліст;старшого дизеліста;старшому дизелісту;старшим дизелістом;;рядовий, сержантський, старшинський;733;;так;Старший дизеліст;Excel, МО 317
старший диспетчер;старшого диспетчера;старшому диспетчеру;старшим диспетчером;;рядовий, сержантський, старшинський;734, 736;211;так;Старший диспетчер (крім старшого диспетчера з перельотів і посадок) | Старший диспетчер (з перельотів і посадок);Excel, МО 317
старший диспетчер поїзний;старшого диспетчера поїзного;старшому диспетчеру поїзному;старшим диспетчером поїзним;;рядовий, сержантський, старшинський;788;948;;Старший диспетчер поїзний;Excel, МО 317
старший днювальний;старшого днювального;старшому днювальному;старшим днювальним;;рядовий, сержантський, старшинський;698;957;;Старший днювальний;Excel, МО 317
старший дозиметрист;старшого дозиметриста;старшому дозиметристу;старшим дозиметристом;;рядовий, сержантський, старшинський;737;187;;Старший дозиметрист;Excel, МО 317
старший дозувальник;старшого дозувальника;старшому дозувальнику;старшим дозувальником;;рядовий, сержантський, старшинський;739;;так;Старший дозувальник;Excel, МО 317
старший дресирувальник;старшого дресирувальника;старшому дресирувальнику;старшим дресирувальником;;рядовий, сержантський, старшинський;741;886;;Старший дресирувальник;Excel, МО 317
старший друкар;старшого друкара;старшому друкару;старшим друкаром;;рядовий, сержантський, старшинський;821;922;;Старший друкар;Excel, МО 317
старший експедитор;старшого експедитора;старшому експедитору;старшим експедитором;;рядовий, сержантський, старшинський;898;485, 901;;Старший експедитор;Excel, МО 317
старший електрик;старшого електрика;старшому електрику;старшим електриком;;рядовий, сержантський, старшинський;899;;так;Старший електрик;Excel, МО 317
старший електрик-дизеліст;старшого електрика-дизеліста;старшому електрику-дизелісту;старшим електриком-дизелістом;;рядовий, сержантський, старшинський;;;;;Excel
старший електрозварник;старшого електрозварника;старшому електрозварнику;старшим електрозварником;;рядовий, сержантський, старшинський;858;795;;Старший електрозварник;Excel, МО 317
старший електромонтер;старшого електромонтера;старшому електромонтеру;старшим електромонтером;;рядовий, сержантський, старшинський;902;;так;Старший електромонтер;Excel, МО 317
старший звукометрист;старшого звукометриста;старшому звукометристу;старшим звукометристом;;рядовий, сержантський, старшинський;744;627;;Старший звукометрист;Excel, МО 317
старший кабельник;старшого кабельника;старшому кабельнику;старшим кабельником;;рядовий, сержантський, старшинський;748;403;;Старший кабельник;Excel, МО 317
старший кабельник-спаювальник;старшого кабельника-спаювальника;старшому кабельнику-спаювальнику;старшим кабельником-спаювальником;;рядовий, сержантський, старшинський;749;403;;Старший кабельник-спаювальник;Excel, МО 317
старший клепальник;старшого клепальника;старшому клепальнику;старшим клепальником;;рядовий, сержантський, старшинський;753;793;;Старший клепальник;Excel, МО 317
старший коваль;старшого коваля;старшому ковалю;старшим ковалем;;рядовий, сержантський, старшинський;766;794;;Старший коваль;Excel, МО 317
старший кок;старшого кока;старшому коку;старшим коком;;рядовий, сержантський, старшинський;755;788;;Старший кок;Excel, МО 317
старший комендор;старшого комендора;старшому комендору;старшим комендором;;рядовий, сержантський, старшинський;756;148, 153, 155, 156, 160;;Старший комендор;Excel, МО 317
старший контролер;старшого контролера;старшому контролеру;старшим контролером;;рядовий, сержантський, старшинський;761;100, 793, 794, 795, 796, 797, 907, 908;;Старший контролер;Excel, МО 317
старший копрівник;старшого копрівника;старшому копрівнику;старшим копрівником;;рядовий, сержантський, старшинський;762;941;;Старший копрівник;Excel, МО 317
старший коректор;старшого коректора;старшому коректору;старшим коректором;;рядовий, сержантський, старшинський;763;922;;Старший коректор;Excel, МО 317
старший кочегар;старшого кочегара;старшому кочегару;старшим кочегаром;;рядовий, сержантський, старшинський;764;980;;Старший кочегар;Excel, МО 317
старший кравець;старшого кравця;старшому кравцю;старшим кравцем;;рядовий, сержантський, старшинський;831;789;;Старший кравець;Excel, МО 317
старший кранівник;старшого кранівника;старшому кранівнику;старшим кранівником;;рядовий, сержантський, старшинський;765;;так;Старший кранівник;Excel, МО 317
старший кресляр;старшого кресляра;старшому кресляру;старшим кресляром;;рядовий, сержантський, старшинський;896;671, 902;;Старший кресляр;Excel, МО 317
старший кулеметник;старшого кулеметника;старшому кулеметнику;старшим кулеметником;;рядовий, сержантський, старшинський;837;101, 124, 160;;Старший кулеметник;Excel, МО 317
старший кухар;старшого кухаря;старшому кухарю;старшим кухарем;;рядовий, сержантський, старшинський;827;788;;Старший кухар;Excel, МО 317
старший лаборант;старшого лаборанта;старшому лаборанту;старшим лаборантом;;рядовий, сержантський, старшинський;767;;так;Старший лаборант (крім бактеріологічної, клінічної, судово-медичної лабораторії);МО 317
старший ливарник;старшого ливарника;старшому ливарнику;старшим ливарником;;рядовий, сержантський, старшинський;770;975;;Старший ливарник;Excel, МО 317
старший льотчик;старшого льотчика;старшому льотчику;старшим льотчиком;;офіцерський;;;;;складено
старший лікар;старшого лікаря;старшому лікарю;старшим лікарем;;офіцерський;;;;;складено
старший лінотипіст;старшого лінотипіста;старшому лінотипісту;старшим лінотипістом;;рядовий, сержантський, старшинський;769;922;;Старший лінотипіст;Excel, МО 317
старший лінійний;старшого лінійного;старшому лінійному;старшим лінійним;;рядовий, сержантський, старшинський;;;;;Excel
старший лінійний наглядач;старшого лінійного наглядача;старшому лінійному наглядачу;старшим лінійним наглядачем;;рядовий, сержантський, старшинський;768;403;;Старший лінійний наглядач;Excel, МО 317
старший майстер;старшого майстра;старшому майстру;старшим майстром;;рядовий, сержантський, старшинський;774;;так;Старший майстер;Excel, МО 317
старший майстер-гранатометник;старшого майстра-гранатометника;старшому майстру-гранатометнику;старшим майстром-гранатометником;;рядовий, сержантський, старшинський;;;;;Excel
старший маляр;старшого маляра;старшому маляру;старшим маляром;;рядовий, сержантський, старшинський;771;797;;Старший маляр;Excel, МО 317
старший марсовий;старшого марсового;старшому марсовому;старшим марсовим;;рядовий, сержантський, старшинський;772;303;;Старший марсовий;Excel, МО 317
старший маскувальник;старшого маскувальника;старшому маскувальнику;старшим маскувальником;;рядовий, сержантський, старшинський;773;169;;Старший маскувальник;Excel, МО 317
старший машиніст;старшого машиніста;старшому машиністу;старшим машиністом;;рядовий, сержантський, старшинський;776;;так;Старший машиніст;Excel, МО 317
старший машиніст бульдозера;старшого машиніста бульдозера;старшому машиністу бульдозера;старшим машиністом бульдозера;;рядовий, сержантський, старшинський;697;740;;Старший машиніст бульдозера;Excel, МО 317
старший машиніст екскаватора;старшого машиніста екскаватора;старшому машиністу екскаватора;старшим машиністом екскаватора;;рядовий, сержантський, старшинський;897;184, 740;;Старший машиніст екскаватора;Excel, МО 317
старший машиніст заправної машини;старшого машиніста заправної машини;старшому машиністу заправної машини;старшим машиністом заправної машини;;рядовий, сержантський, старшинський;743;766, 790;;Старший машиніст заправної машини;Excel, МО 317
старший машиніст компресора;старшого машиніста компресора;старшому машиністу компресора;старшим машиністом компресора;;рядовий, сержантський, старшинський;759;982;;Старший машиніст компресора;Excel, МО 317
старший машиніст скрепера;старшого машиніста скрепера;старшому машиністу скрепера;старшим машиністом скрепера;;рядовий, сержантський, старшинський;860;180;;Старший машиніст скрепера;Excel, МО 317
старший метеоролог;старшого метеоролога;старшому метеорологу;старшим метеорологом;;рядовий, сержантський, старшинський;785;631;;Старший метеоролог;Excel, МО 317
старший метеоспостерігач;старшого метеоспостерігача;старшому метеоспостерігачу;старшим метеоспостерігачем;;рядовий, сержантський, старшинський;784;520, 631;;Старший метеоспостерігач;Excel, МО 317
старший механік;старшого механіка;старшому механіку;старшим механіком;;рядовий, сержантський, старшинський;786, 787, 789;007, 020, 038, 057, 074, 220, 221, 223, 225, 228, 233, 234, 235, 236, 237, 238, 244, 245, 247, 248, 250, 251, 252, 254, 255, 256, 260, 261, 262, 263, 265, 266, 268, 269, 342, 353, 460, 474, 478, 575, 758;так;Старший механік (крім старшого механіка літака, вертольота, а також з обладнання та систем озброєння літальних апаратів і керованих засобів ураження та засекречувальної апаратури зв'язку) | Старший механік (засекречувальної апаратури зв'язку) | Старший механік;Excel, МО 317
старший механік-акумуляторник;старшого механіка-акумуляторника;старшому механіку-акумуляторнику;старшим механіком-акумуляторником;;рядовий, сержантський, старшинський;;;;;Excel
старший механік-водій;старшого механіка-водія;старшому механіку-водію;старшим механіком-водієм;;рядовий, сержантський, старшинський;790, 791, 857;028, 029, 038, 113, 116, 117, 118, 130, 132, 134, 175, 177, 178, 179, 180, 967;так;Старший механік-водій (машини на бронетанковій базі та танків) | Старший механік-водій | Старший механік-водій (самохідної пускової установки);Excel, МО 317
старший механік-гранатометник;старшого механіка-гранатометника;старшому механіку-гранатометнику;старшим механіком-гранатометником;;рядовий, сержантський, старшинський;;;;;Excel
старший монтажник;старшого монтажника;старшому монтажнику;старшим монтажником;;рядовий, сержантський, старшинський;795;;так;Старший монтажник;Excel, МО 317
старший монтер колій;старшого монтера колій;старшому монтеру колій;старшим монтером колій;старшим монтером колієм;рядовий, сержантський, старшинський;796;937;;Старший монтер колій;Excel, МО 317
старший моторист;старшого моториста;старшому мотористу;старшим мотористом;;рядовий, сержантський, старшинський;797;;так;Старший моторист;Excel, МО 317
старший муляр;старшого муляра;старшому муляру;старшим муляром;;рядовий, сержантський, старшинський;798;956;;Старший муляр;Excel, МО 317
старший мінер;старшого мінера;старшому мінеру;старшим мінером;;рядовий, сержантський, старшинський;793;;так;Старший мінер;Excel, МО 317
старший мірошник;старшого мірошника;старшому мірошнику;старшим мірошником;;рядовий, сержантський, старшинський;783;788;;Старший мірошник;Excel, МО 317
старший навідник;старшого навідника;старшому навіднику;старшим навідником;;рядовий, сержантський, старшинський;803;;так;Старший навідник;Excel, МО 317
старший наладчик;старшого наладчика;старшому наладчику;старшим наладчиком;;рядовий, сержантський, старшинський;805;325, 354, 600, 602, 603, 604, 652, 653, 721, 769, 800, 801, 805;;Старший наладчик;Excel, МО 317
старший нарядник;старшого нарядника;старшому наряднику;старшим нарядником;;рядовий, сержантський, старшинський;804;;так;Старший нарядник;Excel, МО 317
старший науковий співробітник;старшого наукового співробітника;старшому науковому співробітнику;старшим науковим співробітником;;офіцерський;;;;;складено
старший номер обслуги;старшого номера обслуги;старшому номеру обслуги;старшим номером обслуги;;рядовий, сержантський, старшинський;806;;так;Старший номер обслуги;Excel, МО 317
старший нормувальник;старшого нормувальника;старшому нормувальнику;старшим нормувальником;;рядовий, сержантський, старшинський;807;;так;Старший нормувальник;Excel, МО 317
старший обчислювач;старшого обчислювача;старшому обчислювачу;старшим обчислювачем;;рядовий, сержантський, старшинський;714;;так;Старший обчислювач;Excel, МО 317
старший оглядач;старшого оглядача;старшому оглядачу;старшим оглядачем;;рядовий, сержантський, старшинський;816;;так;Старший оглядач;Excel, МО 317
старший оператор;старшого оператора;старшому оператору;старшим оператором;;рядовий, сержантський, старшинський;810, 812, 813, 920, 921, 922, 923, 924;107, 108, 111, 128, 146, 156, 157, 163, 178, 183, 225, 247, 248, 381, 382, 383, 384, 385, 500, 501, 502, 503, 504, 505, 506, 507, 508, 515, 525, 526, 527, 528, 529, 530, 531, 532, 533, 538, 539, 540, 541, 542, 543, 544, 545, 555, 602, 605;так;Старший оператор | Старший оператор (зі знанням іноземної мови) | Старший оператор (приладів наведення авіації, радіотехнічних станцій ближньої навігації та систем посадки літаків, радіоелектронного подавлення безпілотних літальних апаратів) | Старший оператор (з розвідки) (військових частин і підрозділів спеціального призначення, спеціальних операцій та спеціальної розвідки) | Старший оператор (з озброєння) (військових частин і підрозділів спеціального призначення, спеціальних операцій та спеціальної розвідки) | Старший оператор (з інженерної справи) (військових частин і підрозділів спеціального призначення, спеціальних операцій та спеціальної розвідки) | Старший оператор (із зв’язку) (військових частин і підрозділів спеціального призначення, спеціальних операцій та спеціальної розвідки) | Старший оператор (з медицини) (військових частин і підрозділів спеціального призначення, спеціальних операцій та спеціальної розвідки);Excel, МО 317
старший оператор безпілотних літальних апаратів;старшого оператора безпілотних літальних апаратів;старшому оператору безпілотних літальних апаратів;старшим оператором безпілотних літальних апаратів;;рядовий, сержантський, старшинський;799, 925, 903;216, 217, 218, 219;;Старший оператор безпілотних літальних апаратів (з реактивним двигуном) | Старший оператор безпілотних літальних апаратів (мікро та міні) | Старший оператор безпілотних літальних апаратів (малі);МО 317
старший оператор-електрик;старшого оператора-електрика;старшому оператору-електрику;старшим оператором-електриком;;рядовий, сержантський, старшинський;;;;;Excel
старший оператор-планшетист;старшого оператора-планшетиста;старшому оператору-планшетисту;старшим оператором-планшетистом;;рядовий, сержантський, старшинський;;;;;Excel
старший оператор-радіотелеграфіст;старшого оператора-радіотелеграфіста;старшому оператору-радіотелеграфісту;старшим оператором-радіотелеграфістом;;рядовий, сержантський, старшинський;;;;;Excel
старший оператор-розвідник;старшого оператора-розвідника;старшому оператору-розвіднику;старшим оператором-розвідником;;рядовий, сержантський, старшинський;;;;;Excel
старший оперуповноважений;старшого оперуповноваженого;старшому оперуповноваженому;старшим оперуповноваженим;;офіцерський;;;;;складено
старший оптик;старшого оптика;старшому оптику;старшим оптиком;;рядовий, сержантський, старшинський;815;;так;Старший оптик;Excel, МО 317
старший ординатор;старшого ординатора;старшому ординатору;старшим ординатором;;офіцерський;;;;;складено
старший офіцер;старшого офіцера;старшому офіцеру;старшим офіцером;;офіцерський;;;;;складено
старший офіцер батальйону;старшого офіцера батальйону;старшому офіцеру батальйону;старшим офіцером батальйону;;офіцерський;;;;;складено
старший офіцер батареї;старшого офіцера батареї;старшому офіцеру батареї;старшим офіцером батареї;;офіцерський;;;;;складено
старший офіцер бригади;старшого офіцера бригади;старшому офіцеру бригади;старшим офіцером бригади;;офіцерський;;;;;складено
старший офіцер взводу;старшого офіцера взводу;старшому офіцеру взводу;старшим офіцером взводу;;офіцерський;;;;;складено
старший офіцер відділення;старшого офіцера відділення;старшому офіцеру відділення;старшим офіцером відділення;;офіцерський;;;;;складено
старший офіцер відділу;старшого офіцера відділу;старшому офіцеру відділу;старшим офіцером відділу;;офіцерський;;;;;складено
старший офіцер військової частини;старшого офіцера військової частини;старшому офіцеру військової частини;старшим офіцером військової частини;;офіцерський;;;;;складено
старший офіцер групи;старшого офіцера групи;старшому офіцеру групи;старшим офіцером групи;;офіцерський;;;;;складено
старший офіцер дивізіону;старшого офіцера дивізіону;старшому офіцеру дивізіону;старшим офіцером дивізіону;;офіцерський;;;;;складено
старший офіцер екіпажу;старшого офіцера екіпажу;старшому офіцеру екіпажу;старшим офіцером екіпажу;;офіцерський;;;;;складено
старший офіцер ескадрильї;старшого офіцера ескадрильї;старшому офіцеру ескадрильї;старшим офіцером ескадрильї;;офіцерський;;;;;складено
старший офіцер загону;старшого офіцера загону;старшому офіцеру загону;старшим офіцером загону;;офіцерський;;;;;складено
старший офіцер командування;старшого офіцера командування;старшому офіцеру командування;старшим офіцером командування;;офіцерський;;;;;складено
старший офіцер корпусу;старшого офіцера корпусу;старшому офіцеру корпусу;старшим офіцером корпусу;;офіцерський;;;;;складено
старший офіцер ланки;старшого офіцера ланки;старшому офіцеру ланки;старшим офіцером ланки;;офіцерський;;;;;складено
старший офіцер напряму;старшого офіцера напряму;старшому офіцеру напряму;старшим офіцером напряму;;офіцерський;;;;;складено
старший офіцер полку;старшого офіцера полку;старшому офіцеру полку;старшим офіцером полку;;офіцерський;;;;;складено
старший офіцер роти;старшого офіцера роти;старшому офіцеру роти;старшим офіцером роти;;офіцерський;;;;;складено
старший офіцер сектору;старшого офіцера сектору;старшому офіцеру сектору;старшим офіцером сектору;;офіцерський;;;;;складено
старший офіцер секції;старшого офіцера секції;старшому офіцеру секції;старшим офіцером секції;;офіцерський;;;;;складено
старший офіцер служби;старшого офіцера служби;старшому офіцеру служби;старшим офіцером служби;;офіцерський;;;;;складено
старший офіцер управління;старшого офіцера управління;старшому офіцеру управління;старшим офіцером управління;;офіцерський;;;;;складено
старший офіцер центру;старшого офіцера центру;старшому офіцеру центру;старшим офіцером центру;;офіцерський;;;;;складено
старший офіцер штабу;старшого офіцера штабу;старшому офіцеру штабу;старшим офіцером штабу;;офіцерський;;;;;складено
старший парашутист - укладач парашутів;старшого парашутиста - укладача парашутів;старшому парашутисту - укладачу парашутів;старшим парашутистом - укладачем парашутів;;рядовий, сержантський, старшинський;817;212;;Старший парашутист - укладач парашутів;МО 317
старший паропровідник;старшого паропровідника;старшому паропровіднику;старшим паропровідником;;рядовий, сержантський, старшинський;818;960;;Старший паропровідник;Excel, МО 317
старший парусник;старшого парусника;старшому паруснику;старшим парусником;;рядовий, сержантський, старшинський;819;746;;Старший парусник;Excel, МО 317
старший пекар;старшого пекаря;старшому пекарю;старшим пекарем;старшим пекаром;рядовий, сержантський, старшинський;820;788;;Старший пекар;Excel, МО 317
старший перекладач;старшого перекладача;старшому перекладачу;старшим перекладачем;;офіцерський;;;;;складено
старший пиляр;старшого пиляра;старшому пиляру;старшим пиляром;;рядовий, сержантський, старшинський;823;171, 798;;Старший пиляр;Excel, МО 317
старший планшетист;старшого планшетиста;старшому планшетисту;старшим планшетистом;;рядовий, сержантський, старшинський;825;;так;Старший планшетист;Excel, МО 317
старший повітряний радист;старшого повітряного радиста;старшому повітряному радисту;старшим повітряним радистом;;рядовий, сержантський, старшинський;708;220, 221, 223;;Старший повітряний радист;Excel, МО 317
старший повітряний стрілець;старшого повітряного стрільця;старшому повітряному стрільцю;старшим повітряним стрільцем;старшим повітряним стрілецем;рядовий, сержантський, старшинський;709;220, 221, 223;;Старший повітряний стрілець;Excel, МО 317
старший повітряний стрілець-радист;старшого повітряного стрільця-радиста;старшому повітряному стрільцю-радисту;старшим повітряним стрільцем-радистом;старшим повітряним стрілецем-радистом;рядовий, сержантський, старшинський;712;220, 221, 223;;Старший повітряний стрілець-радист;Excel, МО 317
старший пожежний;старшого пожежного;старшому пожежному;старшим пожежним;;рядовий, сержантський, старшинський;828;967;;Старший пожежний;Excel, МО 317
старший пожежний-респіраторник;старшого пожежного-респіраторника;старшому пожежному-респіраторнику;старшим пожежним-респіраторником;;рядовий, сержантський, старшинський;933;967;;Старший пожежний-респіраторник;Excel, МО 317
старший помічник;старшого помічника;старшому помічнику;старшим помічником;;офіцерський;;;;;складено
старший помічник оперативного чергового;старшого помічника оперативного чергового;старшому помічнику оперативного чергового;старшим помічником оперативного чергового;;рядовий, сержантський, старшинський;829;211, 615;;Старший помічник оперативного чергового (по командному пункту);Excel, МО 317
старший понтонер;старшого понтонера;старшому понтонеру;старшим понтонером;;рядовий, сержантський, старшинський;830;167;;Старший понтонер;Excel, МО 317
старший пошуковець;старшого пошуковця;старшому пошуковцю;старшим пошуковцем;;рядовий, сержантський, старшинський;832;205, 206;;Старший пошуковець;Excel, МО 317
старший приладник;старшого приладника;старшому приладнику;старшим приладником;;рядовий, сержантський, старшинський;833;600, 602, 603, 604, 721, 754, 759, 800, 801, 805;;Старший приладник;Excel, МО 317
старший прожекторист;старшого прожекториста;старшому прожектористу;старшим прожектористом;;рядовий, сержантський, старшинський;836;665;;Старший прожекторист;Excel, МО 317
старший радист;старшого радиста;старшому радисту;старшим радистом;;рядовий, сержантський, старшинський;841, 843;441, 443;так;Старший радист (військових частин і підрозділів спеціального призначення, спеціальної розвідки) | Старший радист;Excel, МО 317
старший радист-кодувальник;старшого радиста-кодувальника;старшому радисту-кодувальнику;старшим радистом-кодувальником;;рядовий, сержантський, старшинський;844;;так;Старший радист-кодувальник;Excel, МО 317
старший радіозондист;старшого радіозондиста;старшому радіозондисту;старшим радіозондистом;;рядовий, сержантський, старшинський;838;520;;Старший радіозондист;Excel, МО 317
старший радіометрист;старшого радіометриста;старшому радіометристу;старшим радіометристом;;рядовий, сержантський, старшинський;845;;так;Старший радіометрист;Excel, МО 317
старший радіомінер;старшого радіомінера;старшому радіомінеру;старшим радіомінером;;рядовий, сержантський, старшинський;839;183;;Старший радіомінер;Excel, МО 317
старший радіомінер-гранатометник;старшого радіомінера-гранатометника;старшому радіомінеру-гранатометнику;старшим радіомінером-гранатометником;;рядовий, сержантський, старшинський;;;;;Excel
старший радіотелеграфіст;старшого радіотелеграфіста;старшому радіотелеграфісту;старшим радіотелеграфістом;;рядовий, сержантський, старшинський;840;420, 429, 441, 450, 451, 453, 474, 538;;Старший радіотелеграфіст;Excel, МО 317
